TTHERM_ID,000min_A,000min_B,030min_A,030min_B,060min_A,060min_B,090min_A,090min_B,120min_A,120min_B,150min_A,150min_B,180min_A,180min_B,210min_A,210min_B,240min_A,240min_B
TTHERM_00252388,0.0,0.0101146,0.00364587,0.011407,0.00386401,0.00618311,0.00419929,0.00362905,0.00415379,0.00334444,0.00440396,0.0283563,0.0,0.0183534,0.00972082,0.0115802,0.0,0.0
TTHERM_00252390,0.357086,0.314937,0.0674721,0.102378,0.0812721,0.189848,0.109535,0.155704,0.153802,0.202646,0.177904,0.26847,0.200792,0.247032,0.220739,0.256462,0.205851,0.277423
TTHERM_00252405,0.0920037,0.158055,0.11689,0.265767,0.127081,0.203323,0.131221,0.25361,0.218636,0.247562,0.206469,0.361502,0.156982,0.226328,0.0878842,0.225244,0.0771614,0.191553
TTHERM_00252419,0.489687,0.113376,0.0275743,0.0191765,0.0194856,0.0103921,0.0141193,0.0274495,0.0244438,0.0224936,0.0185129,0.0178799,0.0401179,0.0401021,0.0285854,0.0356737,0.0140851,0.0240993
TTHERM_00252420,0.959597,1.24626,0.913814,1.30055,0.967936,1.42306,1.60115,1.43229,1.90922,1.95812,2.40523,1.70412,2.28018,1.96004,1.5539,1.98114,1.57065,1.84807
TTHERM_00252430,2.40148,1.9729,2.05545,1.92601,1.79191,1.63943,1.99231,1.62337,2.96126,1.83434,3.81167,1.95022,4.28006,2.71827,3.76439,3.3504,3.05209,3.11886
TTHERM_00253430,7.19792,43.1015,143.371,139.94,166.355,123.525,109.107,100.713,87.1183,86.1318,66.601,75.1186,64.319,73.9256,81.1547,80.2518,93.5651,78.9229
TTHERM_00253460,0.0544868,0.424641,0.104338,1.12466,0.219405,0.752436,0.23621,1.03591,0.174275,0.932602,0.305947,0.593012,0.158,0.366749,0.138892,0.333784,0.385731,0.356514
TTHERM_00253464,0.638654,1.09827,1.25087,1.5537,0.695678,1.20696,0.518616,0.982564,0.687482,1.21678,0.850234,1.40125,1.56894,1.32684,1.15051,1.36559,0.744729,1.14443
TTHERM_00253467,0.328907,0.691435,0.601747,0.675969,0.579314,0.908638,0.0596695,0.674719,0.117566,0.283396,0.186284,0.650736,0.28988,0.552281,0.210478,0.474771,0.264583,0.434379
TTHERM_00253468,0.0143624,0.0125571,0.00451965,0.017299,0.00319507,0.011498,0.0104217,0.0195008,0.00859415,0.0176947,0.00546869,0.019072,0.00161694,0.0121361,0.00200693,0.00478106,0.00138517,0.0059281
TTHERM_00253469,0.0,0.00188551,0.00305288,0.00318747,0.00107921,0.00258889,0.00117352,0.00506658,0.00232277,0.00487851,0.00123179,0.00297402,0.00102494,0.0040989,0.0,0.0,0.00093563,0.0
TTHERM_00253470,0.00220896,0.011589,0.0145945,0.0152378,0.0110555,0.0247527,0.0120215,0.0290653,0.0130869,0.0287427,0.0201893,0.0284345,0.0230302,0.0251937,0.0138849,0.0220511,0.0124601,0.0143591
TTHERM_00253935,0.630631,0.543473,1.0842,1.00174,1.0668,1.13605,1.53488,1.31813,2.51346,1.65004,2.71752,1.66322,1.70879,1.74286,0.921532,1.40924,1.08563,1.23741
TTHERM_00254490,0.0438879,0.0383463,0.0645462,0.0048063,0.0244257,0.00781876,0.0212317,0.0275312,0.0682426,0.084526,0.0834728,0.0761428,0.16254,0.088189,0.0922254,0.0976646,0.0720657,0.0906164
TTHERM_00254495,0.413335,1.00153,0.372179,0.54542,0.220479,0.689983,0.224959,0.809685,0.631353,1.35722,1.0189,1.87894,1.46784,1.45414,0.90907,1.13661,0.475622,0.960344
TTHERM_00254500,0.473774,0.851406,0.418275,0.722453,0.237289,0.76309,0.398932,0.91252,1.09708,1.27456,1.58136,1.92149,1.40012,1.6036,0.495756,1.12752,0.353511,0.689324
TTHERM_00254510,0.626033,0.578661,0.610483,0.50824,0.387722,0.480631,0.440948,0.529153,0.396135,0.366656,0.839396,0.48142,0.614989,0.535438,0.361056,0.601419,0.441064,0.453635
TTHERM_00254520,2.95709,5.99002,3.13383,6.95153,2.81325,7.0651,3.1983,6.4394,4.05758,7.02373,3.79114,8.45093,2.30668,4.88927,2.50653,2.89639,2.69999,3.25158
TTHERM_00254530,42.3341,76.7971,32.781,67.3098,30.3373,65.4905,33.2992,63.9255,38.401,66.1929,39.6136,89.5492,35.2864,58.1471,31.7493,41.2115,33.1264,40.5017
TTHERM_00254540,8.78446,7.57829,7.19036,8.64556,5.81962,7.81551,4.71499,7.29393,4.86446,7.06138,4.97109,6.45645,5.47078,6.8466,5.16313,6.55372,4.80622,6.17937
TTHERM_00254550,0.186619,0.383696,0.13916,0.144575,0.0535128,0.128702,0.014511,0.0880342,0.0,0.0922369,0.0151725,0.0977205,0.0,0.0509187,0.0169182,0.0806591,0.0116335,0.0496003
TTHERM_00254560,1.51462,1.41475,0.877543,1.02182,0.864271,1.04078,0.85213,1.03685,0.803522,0.911023,0.893395,0.862798,1.1235,1.01248,1.27241,1.22418,1.32334,1.25246
TTHERM_00254570,0.0665851,0.521186,0.0955415,0.492608,0.0670851,0.647423,0.0724825,0.442083,0.0,0.859825,0.0752612,0.850037,0.0,0.41599,0.170495,0.475867,0.0585977,0.342196
TTHERM_00254587,0.18795,0.257848,0.305185,0.423499,0.260243,0.373757,0.165622,0.252972,0.250329,0.32547,0.28563,0.320243,0.204957,0.24802,0.169806,0.20684,0.0935413,0.307859
TTHERM_00254590,0.840962,2.06028,1.73069,2.66819,1.04877,2.03859,0.942574,1.95809,1.33645,2.19015,1.71691,2.61716,1.66885,2.09938,1.41707,1.97254,1.20025,1.65816
TTHERM_00254600,0.368765,0.823852,0.418453,0.680203,0.390566,0.654729,0.498878,0.580046,0.550053,0.798926,0.643184,0.827329,0.647307,0.636912,0.451804,0.506604,0.526751,0.460127
TTHERM_00255600,6.42086,6.26874,6.61243,5.64335,6.2897,5.59238,5.20756,4.93219,6.09122,5.26726,6.1827,5.35625,6.20944,6.04,6.04486,6.6281,5.45429,6.11159
TTHERM_00255615,12.4198,13.3091,11.7883,10.9815,10.0099,9.34983,10.3005,8.98161,10.3981,9.72968,9.85007,9.52429,10.7803,10.7794,11.9788,11.7775,9.79404,11.0372
TTHERM_00255620,1.58288,1.88445,1.10766,1.46584,0.977272,1.37627,1.11392,1.38139,1.30244,1.36773,1.75182,1.59447,2.0083,2.01635,2.01972,1.99676,1.58381,1.87056
