,TTHERM_ID,leiden_label_full
10543,TTHERM_00085380,658
10590,TTHERM_00084970,658
10542,TTHERM_00083420,658
10519,TTHERM_00079510,658
10587,TTHERM_000672229,658
10586,TTHERM_000653758,658
10583,TTHERM_00059370,658
10581,TTHERM_000577139,658
10497,TTHERM_00052190,658
10575,TTHERM_00049210,658
10518,TTHERM_000486999,658
10566,TTHERM_000486279,658
10564,TTHERM_000479100,658
10561,TTHERM_00047330,658
10558,TTHERM_00043770,658
10555,TTHERM_000426209,658
10551,TTHERM_00038880,658
10541,TTHERM_00028680,658
10540,TTHERM_00028670,658
10536,TTHERM_000239349,658
10533,TTHERM_000193469,658
10532,TTHERM_00016320,658
10530,TTHERM_000156669,658
10527,TTHERM_000149719,658
10523,TTHERM_00013410,658
10517,TTHERM_000129409,658
10512,TTHERM_00011710,658
10510,TTHERM_00011640,658
10506,TTHERM_000092809,658
10504,TTHERM_000056049,658
10500,TTHERM_000042741,658
10496,TTHERM_000013409,658
19707,TTHERM_01050650,657
19706,TTHERM_000420089,657
19705,TTHERM_000361799,657
19704,TTHERM_00012960,657
19650,TTHERM_01071430,656
19651,TTHERM_00590400,656
19649,TTHERM_00185710,656
19648,TTHERM_000557909,656
20023,TTHERM_00458170,655
20021,TTHERM_00415650,655
20022,TTHERM_00105169,655
19395,TTHERM_00716170,654
19396,TTHERM_00716160,654
19399,TTHERM_00394530,654
19398,TTHERM_00320220,654
19397,TTHERM_00260680,654
17471,TTHERM_01107290,653
17460,TTHERM_01015900,653
17459,TTHERM_00930720,653
17466,TTHERM_00825580,653
17469,TTHERM_00624140,653
17470,TTHERM_00343940,653
17465,TTHERM_00310360,653
17468,TTHERM_00266640,653
17467,TTHERM_00105220,653
17462,TTHERM_000835119,653
17464,TTHERM_000760719,653
17463,TTHERM_000670189,653
17461,TTHERM_00011560,653
17458,TTHERM_00001080,653
16892,TTHERM_00924240,652
16899,TTHERM_00654250,652
16890,TTHERM_00637540,652
16898,TTHERM_00627160,652
16900,TTHERM_00614750,652
16895,TTHERM_00543650,652
16884,TTHERM_00430090,652
16889,TTHERM_00426320,652
16886,TTHERM_00329890,652
16896,TTHERM_00283720,652
16897,TTHERM_00196090,652
16894,TTHERM_00189050,652
16885,TTHERM_00158280,652
16893,TTHERM_00157960,652
16891,TTHERM_00128780,652
16888,TTHERM_000703409,652
16887,TTHERM_00066800,652
15132,TTHERM_01338460,651
15126,TTHERM_01144900,651
15131,TTHERM_01099280,651
15117,TTHERM_00989310,651
15102,TTHERM_00773640,651
15128,TTHERM_00758890,651
15127,TTHERM_00753430,651
15119,TTHERM_00738580,651
15121,TTHERM_00724680,651
15110,TTHERM_00661490,651
15105,TTHERM_00657600,651
15113,TTHERM_00609390,651
15097,TTHERM_00590070,651
15130,TTHERM_00448740,651
15125,TTHERM_00433780,651
15129,TTHERM_00393110,651
15111,TTHERM_00391220,651
15101,TTHERM_00340130,651
15104,TTHERM_00327212,651
15106,TTHERM_00327170,651
15124,TTHERM_00312309,651
15107,TTHERM_00310750,651
15116,TTHERM_00267920,651
15120,TTHERM_00248270,651
15123,TTHERM_00161560,651
15122,TTHERM_00149490,651
15115,TTHERM_00128350,651
15118,TTHERM_001058781,651
15114,TTHERM_00085330,651
15099,TTHERM_000711929,651
15112,TTHERM_000655619,651
15108,TTHERM_000647029,651
15109,TTHERM_000621309,651
15098,TTHERM_00046790,651
15103,TTHERM_000455538,651
15100,TTHERM_000316129,651
13158,TTHERM_01299680,650
13183,TTHERM_01295310,650
13163,TTHERM_01277470,650
13180,TTHERM_01266090,650
13157,TTHERM_01248890,650
13153,TTHERM_01207660,650
13204,TTHERM_01164190,650
13182,TTHERM_01108580,650
13201,TTHERM_01100410,650
13155,TTHERM_01050620,650
13142,TTHERM_01027650,650
13132,TTHERM_00997580,650
13147,TTHERM_00977610,650
13219,TTHERM_00925360,650
13170,TTHERM_00890090,650
13186,TTHERM_00826850,650
13221,TTHERM_00820680,650
13194,TTHERM_00804760,650
13191,TTHERM_00730300,650
13162,TTHERM_00727820,650
13218,TTHERM_00726329,650
13213,TTHERM_00726280,650
13150,TTHERM_00726080,650
13215,TTHERM_00717550,650
13220,TTHERM_00680660,650
13193,TTHERM_00668030,650
13168,TTHERM_00661699,650
13212,TTHERM_00658820,650
13210,TTHERM_00636850,650
13211,TTHERM_00616700,650
13164,TTHERM_00590110,650
13167,TTHERM_00578790,650
13141,TTHERM_00561320,650
13179,TTHERM_00554360,650
13197,TTHERM_00535890,650
13145,TTHERM_00534090,650
13140,TTHERM_00532120,650
13161,TTHERM_00530249,650
13173,TTHERM_00527422,650
13139,TTHERM_00498140,650
13206,TTHERM_00494240,650
13177,TTHERM_00492400,650
13190,TTHERM_00487040,650
13138,TTHERM_00471770,650
13208,TTHERM_00437750,650
13189,TTHERM_00392860,650
13217,TTHERM_00375120,650
13137,TTHERM_00370960,650
13216,TTHERM_00365350,650
13185,TTHERM_00348760,650
13136,TTHERM_00348520,650
13199,TTHERM_00343960,650
13214,TTHERM_00334610,650
13196,TTHERM_00320450,650
13209,TTHERM_00266560,650
13166,TTHERM_00263440,650
13207,TTHERM_00251060,650
13149,TTHERM_00227459,650
13198,TTHERM_00227280,650
13131,TTHERM_00219330,650
13188,TTHERM_00219300,650
13205,TTHERM_00194210,650
13203,TTHERM_00191410,650
13202,TTHERM_00191200,650
13176,TTHERM_00190850,650
13200,TTHERM_00185380,650
13135,TTHERM_00170330,650
13134,TTHERM_00149940,650
13174,TTHERM_00149420,650
13195,TTHERM_00139730,650
13171,TTHERM_00138570,650
13192,TTHERM_00133700,650
13144,TTHERM_00130000,650
13187,TTHERM_00128690,650
13184,TTHERM_00112800,650
13181,TTHERM_00104890,650
13151,TTHERM_001048129,650
13178,TTHERM_000994159,650
13175,TTHERM_00082160,650
13159,TTHERM_00075810,650
13172,TTHERM_00069400,650
13169,TTHERM_000548129,650
13165,TTHERM_000494779,650
13160,TTHERM_00046940,650
13156,TTHERM_000312090,650
13154,TTHERM_00030460,650
13152,TTHERM_00030200,650
13148,TTHERM_000185489,650
13146,TTHERM_000145119,650
13143,TTHERM_000028669,650
13133,TTHERM_000016009,650
13130,TTHERM_000004890,650
18715,TTHERM_01276370,649
18714,TTHERM_00773100,649
18717,TTHERM_00697530,649
18710,TTHERM_00567980,649
18712,TTHERM_00530080,649
18713,TTHERM_00483650,649
18716,TTHERM_00415790,649
18711,TTHERM_000449779,649
16646,TTHERM_01055610,648
16641,TTHERM_00794360,648
16650,TTHERM_00784250,648
16640,TTHERM_00782170,648
16639,TTHERM_00616490,648
16652,TTHERM_00582080,648
16637,TTHERM_00486960,648
16651,TTHERM_00463120,648
16645,TTHERM_00444450,648
16642,TTHERM_00400740,648
16636,TTHERM_00393090,648
16644,TTHERM_00289260,648
16635,TTHERM_00275930,648
16648,TTHERM_00266550,648
16649,TTHERM_000783219,648
16647,TTHERM_00077830,648
16643,TTHERM_00059478,648
16638,TTHERM_000290919,648
16634,TTHERM_000001501,648
17479,TTHERM_00942810,647
17483,TTHERM_00827160,647
17478,TTHERM_00784800,647
